user_id,username,display_name,bio,profile_image_url,created_at,followers_count,following_count,tweet_count,verified_status
U000001,robert00,Tiffany Johnson,Movement perform story process music middle west gas. Create computer way social change effort guess. Thus this how day. Heart serious guess story dinner.,,2024-03-30 21:28:44,130,5,6,False
U000002,kenneth71,Chelsea Alvarez,,,2025-08-06 19:51:00,10,5,3,False
U000003,carpentershawn,Dustin Diaz,,,2023-09-28 19:33:26,10,5,27,False
U000004,wpeterson,Sierra Spencer,Use start more energy member. Deal approach often three lead poor hit.,https://dummyimage.com/54x30,2021-11-29 02:20:55,10,20,3,False
U000005,tracimontgomery,James James,Company yourself yeah catch power read study. Decide cell begin available. Front lead tend so event contain herself.,https://dummyimage.com/506x75,2024-05-10 07:13:00,350,35,30,False
U000006,dpatterson,Logan Johnson,Sign able through study. Tax way safe important investment brother.,,2021-07-22 01:14:52,10,5,3,False
U000007,usmith,Jason Doyle,,https://dummyimage.com/125x12,2024-11-19 12:57:58,20,5,6,False
U000008,douglasrogers,Cindy Harmon,Choose produce though such. Federal standard source improve inside. Night late though feeling what part table main.,,2023-06-22 23:38:22,30,25,6,False
U000009,qreed,Eric Miller,Go whole fire develop. Discuss site network though leg life. Music federal ground class song never.,,2021-10-09 13:00:12,60,65,3,False
U000010,omills,Dylan Harrison,We enough she cost phone. Energy or light behind. Use time traditional ago sea lot.,,2022-05-06 12:21:53,10,5,3,False
U000011,jennifervega,Miss Melissa Spencer,Prevent sell goal always. Mention chance cut increase sister left. Anyone rise mother collection company. Radio decide oil than church beyond far wind.,https://dummyimage.com/975x908,2022-01-04 04:59:10,10,5,3,False
U000012,carla53,Mary Brewer,Enough me image back scene accept. Happy dinner miss raise. Under bag resource. Term plant environmental matter reflect nothing pick rate.,https://placekitten.com/432/117,2021-04-09 10:22:59,60,5,6,False
U000013,jgoodwin,Carrie Roberts,,https://placekitten.com/327/864,2024-12-05 10:06:53,60,70,15,False
U000014,heidigardner,Sandra Bender,,https://placekitten.com/285/226,2021-04-07 03:11:17,10,5,3,False
U000015,yrose,Jonathan Torres,Official see card. Physical race approach shake increase. Likely hand street short much lot simply. Common word bring create very tend real.,https://placekitten.com/1016/121,2024-10-03 02:25:02,20,5,3,False
U000016,thomaslisa,Elizabeth Vaughn,Scientist practice bring rest eat. Number artist western exactly chair explain rather. Change ever feel.,,2024-01-17 16:00:35,100,10,6,False
U000017,dawnwright,Jeremiah Smith,Citizen take important life method under. Arm mouth door but until grow media.,https://dummyimage.com/746x623,2025-05-01 19:01:48,10,5,3,False
U000018,erichall,Whitney Bryant,Board program physical. Clearly local news city spend end hand day. Relate college beautiful itself.,https://picsum.photos/970/40,2023-04-12 15:13:09,10,5,6,False
U000019,jamesmorris,Shannon Love,Summer leave range blue good determine question matter. Watch bag close song. Hope yourself some try myself message per.,,2023-12-20 22:09:08,10,5,3,False
U000020,abbottlindsay,Dana Reese,Happy her debate so red set. Speech hear benefit vote view letter ok rule.,https://picsum.photos/811/355,2021-01-11 22:50:57,20,440,189,False
U000021,aflowers,James Greene,,https://placekitten.com/305/949,2022-08-12 20:39:27,40,10,9,False
U000022,gwilliams,Barbara Mitchell,,,2025-02-23 09:40:51,10,5,6,False
U000023,bradley31,Ashley Gibson,Ability able some somebody reality. Organization culture maybe individual organization own none. National brother house church smile.,https://dummyimage.com/281x1003,2025-03-09 13:25:29,10,5,6,True
U000024,joshua51,Caroline Hayes,Tax name through former number. Probably dream record step listen. Top might foreign either image cup successful. Do floor no inside always state.,https://placekitten.com/547/677,2025-08-14 14:33:09,20,40,3,False
U000025,michael07,John Harris,,https://picsum.photos/768/569,2023-11-06 07:32:12,340,5,9,False
U000026,nmiller,Michael Armstrong,Treat station record low huge stay. Color away job right game. Base force a hard property girl.,,2021-03-15 09:57:42,10,5,3,False
U000027,david98,Katherine Andrade,Source something difference member. My space then official let nor. Order seven add adult become policy truth so.,https://picsum.photos/927/84,2021-05-05 17:21:08,10,15,12,False
U000028,knewton,Ricardo Beasley,Technology term event act early. Interest close far. Better brother like message. Arm game seat address significant. Between people nothing relate.,,2025-04-27 19:30:29,10,5,3,False
U000029,steinwanda,Elizabeth Clark,Suggest finally commercial.,https://dummyimage.com/94x340,2024-06-19 00:40:19,190,30,6,True
U000030,cbell,Andrew Rodriguez,,https://dummyimage.com/134x2,2025-10-10 04:31:28,10,20,9,False
U000031,carla65,Shannon Lewis,Like right listen hold thing. Leader election performance good wonder seem certainly. Wear employee hot section stay. Least great avoid pay part improve.,,2024-08-31 19:34:05,190,25,3,False
U000032,tamara04,Vickie Cox,,https://placekitten.com/777/707,2022-09-03 15:18:00,20,115,3,False
U000033,walkertiffany,Carly Roberts,Late suggest along him carry all bed add. Main page deal policy. Feel tonight best buy assume.,,2024-02-28 11:08:39,20,5,3,False
U000034,helen38,Sheila Daniels,Most give option field memory. Two man position policy child total where. Another easy mouth eight. Easy place officer teach.,https://dummyimage.com/328x496,2022-07-28 23:22:52,20,5,3,False
U000035,zimmermanchristina,Matthew Frank,Couple Mr new rest five traditional. Girl meeting offer compare behind. Cold nature clear. Friend throw trouble knowledge.,https://placekitten.com/354/936,2022-01-24 12:29:31,780,5,3,False
U000036,codyevans,Dennis Rogers,Above better foreign analysis mean. Subject sometimes unit simple. Market experience example into however two. Have mean design could step well whose better.,https://dummyimage.com/499x946,2022-02-26 15:10:31,10,5,3,False
U000037,audrey67,Brittany Wilson,,,2021-03-05 10:01:26,170,5,42,False
U000038,thomaslaura,Rebecca Moore,Hot during couple top. Bank southern soon three travel provide. From board theory speech.,,2021-08-31 15:15:18,190,5,3,False
U000039,annwilson,Casey Gross,Size image that much trial. Against whatever ball paper over. Minute since hit operation watch.,,2025-04-27 18:46:09,40,10,3,False
U000040,sjohnson,Madeline Williamson,Once reach family partner ask available about. Wind anything strategy reduce black. Eat thousand own need tree.,,2021-08-22 21:48:50,10,10,12,False
U000041,wilsonandrew,Carolyn Yu,Size possible hope idea mother figure foreign create. Recent develop no career give popular. Nature age college knowledge thus assume born.,https://placekitten.com/287/970,2024-02-07 18:39:20,10,5,96,False
U000042,cynthiaanderson,Carla Miller,,,2025-05-07 21:09:18,20,565,3,False
